,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
203,Voice of Cards: The Isle Dragon Roars Standard - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,3,0,28,10,2021,17,15,0,1,0,"From the creative minds of YOKO TARO and the NieR team
Classic turn-based combat
A unique RPG experience shown through the medium of cards
A haunting and atmospheric soundscape from composer Keiichi Okabe",4,33
208,Curse of the Dead Gods Standard - PC [Online Game Code],19.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,42,2,0,23,2,2021,4,3,0,1,0,"A skill-based roguelike exploring a cruel, dark temple made of endless rooms and corridors
Swords, spears, bows, guns - wield these and many more
Light and fire will be your best allies to overcome the threats that lie in the shadows
Unique curses influence each attempt, putting a twist on every action
Dozens of enemies, with powerful champions and deadly bosses to face off against",5,65
210,Lost in Random Standard - PC [Online Game Code - Origin],30.0,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,0,1,1,10,9,2021,5,0,0,1,0,"Step into a beautiful and macabre wonderland and venture through the six twisted realms of Random.
Help Random’s unpredictable inhabitants and save your sister from the wicked queen.
Roll Dicey to freeze time itself and use cards you’ve collected to unleash his powerful magics.",3,44
211,Necromunda: Hired Gun Standard - PC [Online Game Code],39.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,42,1,1,1,6,2021,4,3,0,1,0,"An indie fast-paced FPS in the Warhammer 40,000 universe
Upgrade and fight alongside your loyal cyber-mastiff
Endless weapon and augment customisation
Upgrade, advance, and level up as you collect bounties",4,30
213,Hood: Outlaws & Legends Standard - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,42,3,5,10,5,2021,4,3,0,1,0,"Outplay opponents in intense PvPvE multiplayer heists
Experience a violent medieval world where mysticism competes with man-made power and corruption
Claim your loot and invest in perks, weapons and bold new looks
Post-launch support with new maps, characters, game modes and events",4,42
215,Actraiser Renaissance: Standard Edition - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,1,4,23,9,2021,6,8,0,1,0,"Early Purchase Incentive – 5 music tracks and wallpaper
Remastered 2D graphics present the game in beautiful HD
15 new music tracks, as well as re-arranged original tracks by Actraiser composer Yuzo Koshiro!
New stories, expanded action and realm management gameplay, additional action stages, an all-new realm, and new more powerful bosses!
Auto-save and difficulty levels",5,56
216,Digimon Complete Edition - [PC Online Game Code],49.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,19,4,0,17,10,2019,6,5,0,1,0,0,0,0
217,Board Game Expansion Dark Souls: Board Game: Wave 3: Phantoms Expansion,25.601010971787296,1.426849529780564,-1,-1.0,-1,-1,-1,-1,-1,-1,112,4,0,0,0,0,0,0,0,0,1,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Co-operative strategy game for 1-4 players
Play Time: 90-120 minutes
For ages: 14+
Expansion product: you will need a copy of the Dark Souls: The Board Game to play",8,52
218,Space Hulk: Tactics Standard - PC [Online Game Code],29.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,42,1,2,24,10,2020,4,3,0,1,0,"A faithful adaptation of the Warhammer 40,000 board game Space Hulk, with a fresh twist to the classic rules
Engage in bloody tactical battles aboard a gigantic Space Hulk
Play through two campaigns from the point of view of the Blood Angels, and for the first time in a Space Hulk game, the deadly Genestealers!
Customize your units of Dark Angels, Ultramarines, Blood Angels, Space Wolves, and even Genestealers with hundreds of cosmetic items, cards, and equipment.
Challenge players online, playing either Genestealers or one of four Space Marines Chapters",5,90
220,Assassin's Creed Valhalla Gold - PC [Online Game Code],99.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,1,11,11,2021,5,0,0,1,0,"Lead epic Viking raids against Saxon troops and fortresses
Relive the visceral fighting style of the Vikings as you dual-wield powerful weapons
Challenge yourself with the most varied collection of enemies ever in Assassin's Creed
Shape the growth of your character and your clan's settlement with every choice you make
Explore a Dark Age open world, from Norway to England",5,60
226,Life is Strange: Remastered Collection - PC [Online Game Code],39.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,3,1,1,1,2,2022,4,3,0,1,0,"Pre-Order Life is Strange Remastered Collection and receive the ‘Zombie Crypt’ Outfit for Chloe. ‘Zombie Crypt’ Outfit is only available for use in Life is Strange: Before the Storm Remastered. The Life is Strange Remastered Collection includes ‘Life is Strange Remastered’ and ‘Life is Strange: Before the Storm Remastered’.
Remastered visuals across characters and environments
Vastly improved character animation using full facial mocap performance (Life is Strange Remastered only)
Updated and refined gameplay puzzles
Engine and lighting upgrades",5,78
227,Magic Encyclopedia: First Story [Mac Download],6.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,16,6,0,13,4,2011,0,0,0,3,0,0,0,0
228,Watch Dogs: Legion Ultimate - PC [Online Game Code],119.99,0.0,-1,-1.0,-1,-1,-1,-1,-1,-1,1,1,1,2,11,2021,5,0,0,1,0,"Build your resistance to take back a near-future London facing its downfall
Recruit and play as anyone from London. Everyone you see has a unique backstory, personality, and skills
Hack armed drones and take down enemies using an Augmented Reality Cloak
Explore a massive open world featuring London’s many iconic landmarks and fun side activities",4,55
